id,code,name
hr_ocupacion_5246003,5246003,"Dependiente de mostrador de alimentos frescos: huevos, lácteos, frutas, verduras"
hr_ocupacion_5246001,5246001,Dependiente de mostrador de carnes
hr_ocupacion_5246002,5246002,Dependiente de mostrador de pescado
hr_ocupacion_3421002,3421002,Deportista
hr_ocupacion_2513001,2513001,Desarrollador  web y multimedia
hr_ocupacion_2512001,2512001,Desarrollador de software
hr_ocupacion_2519001,2519001,Desarrollador y analista de software y multimedia no clasificados bajo otros epígrafes
hr_ocupacion_5245001,5245001,Despachador de gasolina o diesel
hr_ocupacion_7511005,7511005,Destazador o descuartizador
hr_ocupacion_3355002,3355002,Detectives privados
hr_ocupacion_3413002,3413002,Diácono
hr_ocupacion_3118001,3118001,Dibujante de la construcción
hr_ocupacion_3118003,3118003,Dibujante en cartografía y topografía
hr_ocupacion_3118004,3118004,Dibujante industriales
hr_ocupacion_2265001,2265001,Dietista y nutricionista
hr_ocupacion_4132001,4132001,Digitador de base de datos
hr_ocupacion_7542001,7542001,Dinamitero y pegador
hr_ocupacion_1112001,1112001,Directivo de la administración pública
hr_ocupacion_1212003,1212003,Director de agencia de colocación
hr_ocupacion_2652005,2652005,Director de banda de música y orquesta
hr_ocupacion_1223002,1223002,Director de biblioteca
hr_ocupacion_2654001,2654001,Director de cine
hr_ocupacion_1411004,1411004,Director de contabilidad de hotel
hr_ocupacion_1211003,1211003,Director de departamento administrativo
hr_ocupacion_1324004,1324004,Director de departamento de abastecimiento
hr_ocupacion_1221002,1221002,Director de departamento de comercialización
hr_ocupacion_1213001,1213001,Director de departamento de control de calidad
hr_ocupacion_1324007,1324007,Director de departamento de distribución
hr_ocupacion_1330001,1330001,Director de departamento de informática
hr_ocupacion_1223001,1223001,Director de departamento de investigación y desarrollo
hr_ocupacion_1219004,1219004,Director de departamento de operación en empresa de servicios de limpieza
hr_ocupacion_1324006,1324006,Director de departamento de operaciones en empresa de almacenamientos
hr_ocupacion_1420002,1420002,Director de departamento de operaciones en empresa de comercio mayorista y minorista
hr_ocupacion_1324009,1324009,Director de departamento de operaciones en empresa de comunicaciones
hr_ocupacion_1411005,1411005,Director de departamento de operaciones en empresa de hostelería
hr_ocupacion_1212006,1212006,Director de departamento de operaciones en empresa de intermediación
hr_ocupacion_1323005,1323005,Director de departamento de operaciones en empresa de la construcción
hr_ocupacion_1321010,1321010,Director de departamento de operaciones en empresa de la industria manufacturera
hr_ocupacion_1323006,1323006,Director de departamento de operaciones en empresa de obras públicas
hr_ocupacion_1412003,1412003,Director de departamento de operaciones en empresa de restaurantes
hr_ocupacion_1219006,1219006,Director de departamento de operaciones en empresa de servicios a empresa
hr_ocupacion_1219001,1219001,Director de departamento de operaciones en empresa de servicios de cuidados personales
hr_ocupacion_1324003,1324003,Director de departamento de operaciones en empresa de transporte
hr_ocupacion_1311002,1311002,Director de departamento de operaciones en empresa del sector de la agricultura
